Continentes;Total Nacional;Comunidades y Ciudades Autónomas;Periodo;Total
Europa;Total Nacional;01 Andalucía;2021;15.378.000
Europa;Total Nacional;02 Aragón;2021;967.000
Europa;Total Nacional;03 Asturias, Principado de;2021;1.251.000
Europa;Total Nacional;04 Balears, Illes;2021;5.950.000
Europa;Total Nacional;05 Canarias;2021;10.995.000
Europa;Total Nacional;06 Cantabria;2021;1.136.000
Europa;Total Nacional;07 Castilla y León;2021;1.191.000
Europa;Total Nacional;08 Castilla - La Mancha;2021;670.000
Europa;Total Nacional;09 Cataluña;2021;9.756.000
Europa;Total Nacional;10 Comunitat Valenciana;2021;10.241.000
Europa;Total Nacional;11 Extremadura;2021;337.000
Europa;Total Nacional;12 Galicia;2021;2.365.000
Europa;Total Nacional;13 Madrid, Comunidad de;2021;2.870.000
Europa;Total Nacional;14 Murcia, Región de;2021;911.000
Europa;Total Nacional;15 Navarra, Comunidad Foral de;2021;269.000
Europa;Total Nacional;16 País Vasco;2021;1.003.000
Europa;Total Nacional;17 Rioja, La;2021;264.000
Europa;Total Nacional;18 Ceuta;2021;3.000
Europa;Total Nacional;19 Melilla;2021;3.000
América;Total Nacional;01 Andalucía;2021;584.000
América;Total Nacional;02 Aragón;2021;19.000
América;Total Nacional;03 Asturias, Principado de;2021;24.000
América;Total Nacional;04 Balears, Illes;2021;161.000
América;Total Nacional;05 Canarias;2021;124.000
América;Total Nacional;06 Cantabria;2021;19.000
América;Total Nacional;07 Castilla y León;2021;36.000
América;Total Nacional;08 Castilla - La Mancha;2021;16.000
América;Total Nacional;09 Cataluña;2021;752.000
América;Total Nacional;10 Comunitat Valenciana;2021;321.000
América;Total Nacional;11 Extremadura;2021;4.000
América;Total Nacional;12 Galicia;2021;57.000
América;Total Nacional;13 Madrid, Comunidad de;2021;906.000
América;Total Nacional;14 Murcia, Región de;2021;16.000
América;Total Nacional;15 Navarra, Comunidad Foral de;2021;11.000
América;Total Nacional;16 País Vasco;2021;71.000
América;Total Nacional;17 Rioja, La;2021;7.000
América;Total Nacional;18 Ceuta;2021;..
América;Total Nacional;19 Melilla;2021;..
Asia;Total Nacional;01 Andalucía;2021;68.000
Asia;Total Nacional;02 Aragón;2021;2.000
Asia;Total Nacional;03 Asturias, Principado de;2021;1.000
Asia;Total Nacional;04 Balears, Illes;2021;21.000
Asia;Total Nacional;05 Canarias;2021;18.000
Asia;Total Nacional;06 Cantabria;2021;1.000
Asia;Total Nacional;07 Castilla y León;2021;2.000
Asia;Total Nacional;08 Castilla - La Mancha;2021;1.000
Asia;Total Nacional;09 Cataluña;2021;91.000
Asia;Total Nacional;10 Comunitat Valenciana;2021;27.000
Asia;Total Nacional;11 Extremadura;2021;..
Asia;Total Nacional;12 Galicia;2021;3.000
Asia;Total Nacional;13 Madrid, Comunidad de;2021;52.000
Asia;Total Nacional;14 Murcia, Región de;2021;3.000
Asia;Total Nacional;15 Navarra, Comunidad Foral de;2021;1.000
Asia;Total Nacional;16 País Vasco;2021;5.000
Asia;Total Nacional;17 Rioja, La;2021;..
Asia;Total Nacional;18 Ceuta;2021;..
Asia;Total Nacional;19 Melilla;2021;..
Oceanía ;Total Nacional;01 Andalucía;2021;19.000
Oceanía ;Total Nacional;02 Aragón;2021;..
Oceanía ;Total Nacional;03 Asturias, Principado de;2021;..
Oceanía ;Total Nacional;04 Balears, Illes;2021;9.000
Oceanía ;Total Nacional;05 Canarias;2021;10.000
Oceanía ;Total Nacional;06 Cantabria;2021;..
Oceanía ;Total Nacional;07 Castilla y León;2021;..
Oceanía ;Total Nacional;08 Castilla - La Mancha;2021;..
Oceanía ;Total Nacional;09 Cataluña;2021;18.000
Oceanía ;Total Nacional;10 Comunitat Valenciana;2021;8.000
Oceanía ;Total Nacional;11 Extremadura;2021;..
Oceanía ;Total Nacional;12 Galicia;2021;..
Oceanía ;Total Nacional;13 Madrid, Comunidad de;2021;7.000
Oceanía ;Total Nacional;14 Murcia, Región de;2021;..
Oceanía ;Total Nacional;15 Navarra, Comunidad Foral de;2021;..
Oceanía ;Total Nacional;16 País Vasco;2021;2.000
Oceanía ;Total Nacional;17 Rioja, La;2021;..
Oceanía ;Total Nacional;18 Ceuta;2021;..
Oceanía ;Total Nacional;19 Melilla;2021;..
